SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
2068,2095,1606665493263,1,-1,187,[192.168.1.91- 192.168.1.93],application,video,27,,27,,x
2076,2104,1606665493271,1,-1,188,[192.168.1.91- 192.168.1.93],application,info,28,28,,,x
2085,2108,1606665493280,1,-1,189,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
2094,2129,1606665493289,1,-1,190,[192.168.1.91- 192.168.1.93],application,info,35,35,,,x
2103,2135,1606665493298,1,-1,191,[192.168.1.91- 192.168.1.93],application,video,32,,32,,x
2112,2137,1606665493307,1,-1,192,[192.168.1.91- 192.168.1.93],application,vibrational,25,,,25,x
2120,2168,1606665493315,1,-1,193,[192.168.1.91- 192.168.1.93],application,video,48,,48,,x
2129,2171,1606665493324,1,-1,194,[192.168.1.91- 192.168.1.93],application,video,42,,42,,x
2146,2185,1606665493341,1,-1,196,[192.168.1.91- 192.168.1.93],application,video,39,,39,,x
2137,2191,1606665493332,1,-1,195,[192.168.1.91- 192.168.1.93],application,info,54,54,,,x
2155,2198,1606665493350,1,-1,197,[192.168.1.91- 192.168.1.93],application,info,43,43,,,x
2163,2201,1606665493358,1,-1,198,[192.168.1.91- 192.168.1.93],application,vibrational,38,,,38,x
2172,2203,1606665493367,1,-1,199,[192.168.1.91- 192.168.1.93],application,vibrational,31,,,31,x
2180,2212,1606665493375,1,-1,200,[192.168.1.91- 192.168.1.93],application,video,32,,32,,x
2189,2223,1606665493384,1,-1,201,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
2198,2233,1606665493393,1,-1,202,[192.168.1.91- 192.168.1.93],application,video,35,,35,,x
2206,2255,1606665493401,1,-1,203,[192.168.1.91- 192.168.1.93],application,info,49,49,,,
2215,2257,1606665493410,1,-1,204,[192.168.1.91- 192.168.1.93],application,vibrational,42,,,42,x
2233,2259,1606665493428,1,-1,206,[192.168.1.91- 192.168.1.93],application,video,26,,26,,x
2224,2262,1606665493419,1,-1,205,[192.168.1.91- 192.168.1.93],application,vibrational,38,,,38,
2244,2265,1606665493439,1,-1,207,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,x
2255,2286,1606665493450,1,-1,208,[192.168.1.91- 192.168.1.93],application,video,31,,31,,x
2264,2291,1606665493459,1,-1,209,[192.168.1.91- 192.168.1.93],application,video,27,,27,,x
2274,2310,1606665493469,1,-1,210,[192.168.1.91- 192.168.1.93],application,video,36,,36,,x
2291,2318,1606665493486,1,-1,212,[192.168.1.91- 192.168.1.93],application,info,27,27,,,x
2282,2321,1606665493477,1,-1,211,[192.168.1.91- 192.168.1.93],application,info,39,39,,,x
2303,2324,1606665493498,1,-1,213,[192.168.1.91- 192.168.1.93],application,info,21,21,,,x
2312,2331,1606665493507,1,-1,214,[192.168.1.91- 192.168.1.93],application,video,19,,19,,x
2321,2346,1606665493516,1,-1,215,[192.168.1.91- 192.168.1.93],application,info,25,25,,,
2331,2348,1606665493526,1,-1,216,[192.168.1.91- 192.168.1.93],application,vibrational,17,,,17,x
2340,2358,1606665493535,1,-1,217,[192.168.1.91- 192.168.1.93],application,vibrational,18,,,18,x
2349,2377,1606665493544,1,-1,218,[192.168.1.91- 192.168.1.93],application,vibrational,28,,,28,x
2357,2380,1606665493552,1,-1,219,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
2367,2383,1606665493562,1,-1,220,[192.168.1.91- 192.168.1.93],application,info,16,16,,,x
2376,2399,1606665493571,1,-1,221,[192.168.1.91- 192.168.1.93],application,info,23,23,,,x
2385,2409,1606665493580,1,-1,222,[192.168.1.91- 192.168.1.93],application,vibrational,24,,,24,
2394,2421,1606665493589,1,-1,223,[192.168.1.91- 192.168.1.93],application,vibrational,27,,,27,x
2403,2425,1606665493598,1,-1,224,[192.168.1.91- 192.168.1.93],application,vibrational,22,,,22,
2411,2447,1606665493606,1,-1,225,[192.168.1.91- 192.168.1.93],application,info,36,36,,,x
2426,2456,1606665493621,1,-1,226,[192.168.1.91- 192.168.1.93],application,video,30,,30,,x
2450,2481,1606665493645,1,-1,228,[192.168.1.91- 192.168.1.93],application,vibrational,31,,,31,x
2464,2496,1606665493659,1,-1,229,[192.168.1.91- 192.168.1.93],application,video,32,,32,,x
2439,2509,1606665493634,1,-1,227,[192.168.1.91- 192.168.1.93],application,vibrational,70,,,70,x
2472,2516,1606665493667,1,-1,230,[192.168.1.91- 192.168.1.93],application,video,44,,44,,x
2489,2523,1606665493684,1,-1,231,[192.168.1.91- 192.168.1.93],application,info,34,34,,,x
2499,2535,1606665493694,1,-1,232,[192.168.1.91- 192.168.1.93],application,vibrational,36,,,36,x
2509,2558,1606665493704,1,-1,233,[192.168.1.91- 192.168.1.93],application,vibrational,49,,,49,x
2520,2563,1606665493715,1,-1,234,[192.168.1.91- 192.168.1.93],application,video,43,,43,,x
2530,2583,1606665493725,1,-1,235,[192.168.1.91- 192.168.1.93],application,video,53,,53,,x
2538,2599,1606665493733,1,-1,236,[192.168.1.91- 192.168.1.93],application,video,61,,61,,x
2547,2602,1606665493742,1,-1,237,[192.168.1.91- 192.168.1.93],application,info,55,55,,,x
2555,2604,1606665493750,1,-1,238,[192.168.1.91- 192.168.1.93],application,video,49,,49,,x
2564,2613,1606665493759,1,-1,239,[192.168.1.91- 192.168.1.93],application,vibrational,49,,,49,x
2573,2615,1606665493768,1,-1,240,[192.168.1.91- 192.168.1.93],application,info,42,42,,,x
2586,2623,1606665493781,1,-1,241,[192.168.1.91- 192.168.1.93],application,vibrational,37,,,37,x
2597,2637,1606665493792,1,-1,242,[192.168.1.91- 192.168.1.93],application,video,40,,40,,
2611,2651,1606665493806,1,-1,243,[192.168.1.91- 192.168.1.93],application,video,40,,40,,x
2623,2655,1606665493818,1,-1,244,[192.168.1.91- 192.168.1.93],application,vibrational,32,,,32,x
2637,2663,1606665493832,1,-1,245,[192.168.1.91- 192.168.1.93],application,info,26,26,,,
2646,2688,1606665493841,1,-1,246,[192.168.1.91- 192.168.1.93],application,video,42,,42,,x
2659,2690,1606665493854,1,-1,247,[192.168.1.91- 192.168.1.93],application,video,31,,31,,x
2674,2700,1606665493869,1,-1,248,[192.168.1.91- 192.168.1.93],application,vibrational,26,,,26,x
2684,2705,1606665493879,1,-1,249,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,x
2696,2735,1606665493891,1,-1,250,[192.168.1.91- 192.168.1.93],application,info,39,39,,,x
2704,2754,1606665493899,1,-1,251,[192.168.1.91- 192.168.1.93],application,vibrational,50,,,50,x
2713,2756,1606665493908,1,-1,252,[192.168.1.91- 192.168.1.93],application,info,43,43,,,x
2721,2758,1606665493916,1,-1,253,[192.168.1.91- 192.168.1.93],application,info,37,37,,,x
2730,2759,1606665493925,1,-1,254,[192.168.1.91- 192.168.1.93],application,video,29,,29,,x
